,DoS-Synflooding,MITM ARP Spoofing,Mirai-Ackflooding,Mirai-HTTP Flooding,Mirai-Hostbruteforceg,Mirai-UDP Flooding,Normal,Scan Hostport,Scan Port OS
600468,0,0,0,0,0,1,0,0,0
600469,0,0,0,0,1,0,0,0,0
600470,0,0,0,0,1,0,0,0,0
600471,0,0,0,0,0,1,0,0,0
600472,0,0,0,0,0,1,0,0,0
600473,0,0,0,0,0,0,0,0,1
600474,0,0,0,0,0,1,0,0,0
600475,0,0,0,0,0,1,0,0,0
600476,0,0,0,0,0,0,0,0,1
600477,0,0,0,0,0,0,0,0,1
600478,0,0,0,1,0,0,0,0,0
600479,0,0,0,0,0,1,0,0,0
600480,0,0,0,0,0,0,1,0,0
600481,0,0,0,0,0,1,0,0,0
600482,0,0,0,1,0,0,0,0,0
600483,0,0,0,0,1,0,0,0,0
600484,0,0,0,0,0,1,0,0,0
600485,0,0,1,0,0,0,0,0,0
600486,0,0,0,1,0,0,0,0,0
600487,1,0,0,0,0,0,0,0,0
600488,0,1,0,0,0,0,0,0,0
600489,0,0,0,0,1,0,0,0,0
600490,0,0,0,1,0,0,0,0,0
600491,0,0,0,0,0,0,1,0,0
600492,0,0,0,0,0,0,1,0,0
600493,0,0,0,0,0,1,0,0,0
600494,0,0,0,0,1,0,0,0,0
600495,0,0,0,0,0,1,0,0,0
600496,1,0,0,0,0,0,0,0,0
600497,0,1,0,0,0,0,0,0,0
600498,1,0,0,0,0,0,0,0,0
600499,0,0,0,0,0,0,0,0,1
600500,0,0,1,0,0,0,0,0,0
600501,0,0,0,1,0,0,0,0,0
600502,0,1,0,0,0,0,0,0,0
600503,0,0,0,0,1,0,0,0,0
600504,0,1,0,0,0,0,0,0,0
600505,0,0,0,0,1,0,0,0,0
600506,1,0,0,0,0,0,0,0,0
600507,0,0,0,0,0,0,0,0,1
600508,0,0,0,0,0,1,0,0,0
600509,0,0,0,1,0,0,0,0,0
600510,0,0,0,0,1,0,0,0,0
600511,0,0,0,0,1,0,0,0,0
600512,0,0,0,0,0,1,0,0,0
600513,0,0,0,0,1,0,0,0,0
600514,0,0,0,0,0,1,0,0,0
600515,1,0,0,0,0,0,0,0,0
600516,0,0,0,0,0,0,0,0,1
600517,0,0,0,0,0,1,0,0,0
600518,0,0,0,0,0,0,1,0,0
600519,1,0,0,0,0,0,0,0,0
600520,0,0,0,0,0,1,0,0,0
600521,0,0,0,0,0,0,0,0,1
600522,0,0,0,0,1,0,0,0,0
600523,0,1,0,0,0,0,0,0,0
600524,0,0,0,0,1,0,0,0,0
600525,1,0,0,0,0,0,0,0,0
600526,0,0,0,0,0,1,0,0,0
600527,0,0,1,0,0,0,0,0,0
600528,0,0,0,1,0,0,0,0,0
600529,0,0,0,0,1,0,0,0,0
600530,0,1,0,0,0,0,0,0,0
600531,0,0,0,0,0,0,1,0,0
600532,0,0,0,0,0,0,1,0,0
600533,0,0,0,0,0,1,0,0,0
600534,0,1,0,0,0,0,0,0,0
600535,0,0,0,1,0,0,0,0,0
600536,0,0,0,0,0,1,0,0,0
600537,0,0,1,0,0,0,0,0,0
600538,0,0,0,0,0,1,0,0,0
600539,0,0,1,0,0,0,0,0,0
600540,0,1,0,0,0,0,0,0,0
600541,0,0,0,0,0,1,0,0,0
600542,0,0,0,0,0,1,0,0,0
600543,0,0,0,0,0,1,0,0,0
600544,0,1,0,0,0,0,0,0,0
600545,0,0,0,0,0,1,0,0,0
600546,0,0,0,0,0,0,0,1,0
600547,0,0,0,0,0,1,0,0,0
600548,0,0,0,0,0,1,0,0,0
600549,0,0,0,0,0,1,0,0,0
600550,0,0,0,0,1,0,0,0,0
600551,0,0,0,1,0,0,0,0,0
600552,0,0,0,0,0,1,0,0,0
600553,0,0,0,0,0,0,0,0,1
600554,0,0,0,0,0,1,0,0,0
600555,0,0,0,0,1,0,0,0,0
600556,0,0,1,0,0,0,0,0,0
600557,0,0,0,0,0,1,0,0,0
600558,1,0,0,0,0,0,0,0,0
600559,0,0,0,0,0,0,1,0,0
600560,0,0,1,0,0,0,0,0,0
600561,0,0,0,0,0,1,0,0,0
600562,0,0,0,0,0,0,0,0,1
600563,0,0,0,0,0,0,1,0,0
600564,0,1,0,0,0,0,0,0,0
600565,0,0,0,1,0,0,0,0,0
600566,0,0,0,0,0,1,0,0,0
600567,0,0,0,0,1,0,0,0,0
600568,0,1,0,0,0,0,0,0,0
600569,0,0,0,0,0,0,0,0,1
600570,0,0,0,0,0,0,1,0,0
600571,0,0,0,0,0,0,0,0,1
600572,0,0,1,0,0,0,0,0,0
600573,0,0,0,0,0,1,0,0,0
600574,0,0,0,0,1,0,0,0,0
600575,0,0,1,0,0,0,0,0,0
600576,0,0,0,0,0,0,0,0,1
600577,0,0,0,0,0,1,0,0,0
600578,0,0,0,0,0,1,0,0,0
600579,0,0,0,0,0,1,0,0,0
600580,0,0,0,0,0,0,1,0,0
600581,0,0,0,0,0,1,0,0,0
600582,0,0,0,0,0,1,0,0,0
600583,0,0,0,0,0,0,0,0,1
600584,0,0,0,0,0,1,0,0,0
600585,1,0,0,0,0,0,0,0,0
600586,0,0,0,0,0,0,0,0,1
600587,0,0,1,0,0,0,0,0,0
600588,0,0,0,0,0,1,0,0,0
600589,0,0,0,0,0,1,0,0,0
600590,0,0,0,0,1,0,0,0,0
600591,0,0,0,0,0,0,0,0,1
600592,0,0,0,0,0,0,1,0,0
600593,0,0,0,0,1,0,0,0,0
600594,0,0,0,0,0,0,1,0,0
600595,1,0,0,0,0,0,0,0,0
600596,0,0,0,1,0,0,0,0,0
600597,0,0,0,0,0,1,0,0,0
600598,0,0,1,0,0,0,0,0,0
600599,0,0,0,0,0,1,0,0,0
600600,0,1,0,0,0,0,0,0,0
600601,0,0,1,0,0,0,0,0,0
600602,0,0,0,0,0,1,0,0,0
600603,0,0,0,0,1,0,0,0,0
600604,0,0,0,0,0,1,0,0,0
600605,0,0,0,1,0,0,0,0,0
600606,0,0,0,0,0,1,0,0,0
600607,0,0,0,0,0,1,0,0,0
600608,0,1,0,0,0,0,0,0,0
600609,1,0,0,0,0,0,0,0,0
600610,0,0,0,0,1,0,0,0,0
600611,0,0,0,0,0,1,0,0,0
600612,0,0,0,0,0,1,0,0,0
600613,0,0,0,0,0,0,0,1,0
600614,0,0,0,0,1,0,0,0,0
600615,0,0,0,0,1,0,0,0,0
600616,0,0,0,0,0,1,0,0,0
600617,0,0,0,0,1,0,0,0,0
600618,0,0,0,0,1,0,0,0,0
600619,0,0,0,0,0,1,0,0,0
600620,0,0,0,0,0,1,0,0,0
600621,0,0,0,0,1,0,0,0,0
600622,0,1,0,0,0,0,0,0,0
600623,0,0,0,0,0,1,0,0,0
600624,0,0,1,0,0,0,0,0,0
600625,0,0,0,1,0,0,0,0,0
600626,1,0,0,0,0,0,0,0,0
600627,1,0,0,0,0,0,0,0,0
600628,0,0,0,0,0,1,0,0,0
600629,0,0,1,0,0,0,0,0,0
600630,0,0,0,0,0,0,0,0,1
600631,0,0,1,0,0,0,0,0,0
600632,0,0,0,0,0,0,0,0,1
600633,0,0,0,0,1,0,0,0,0
600634,1,0,0,0,0,0,0,0,0
600635,0,0,0,0,0,0,1,0,0
600636,0,0,0,0,0,1,0,0,0
600637,0,0,0,0,0,1,0,0,0
600638,0,0,0,0,0,0,1,0,0
600639,0,0,1,0,0,0,0,0,0
600640,0,0,0,0,0,0,1,0,0
600641,0,1,0,0,0,0,0,0,0
600642,0,0,0,1,0,0,0,0,0
600643,0,0,0,0,0,1,0,0,0
600644,0,0,0,1,0,0,0,0,0
600645,0,0,0,0,0,1,0,0,0
600646,0,0,0,1,0,0,0,0,0
600647,0,0,0,0,0,0,1,0,0
600648,0,0,0,1,0,0,0,0,0
600649,0,0,0,0,0,1,0,0,0
600650,0,0,0,0,0,1,0,0,0
600651,1,0,0,0,0,0,0,0,0
600652,0,0,0,0,1,0,0,0,0
600653,0,0,0,0,1,0,0,0,0
600654,0,1,0,0,0,0,0,0,0
600655,0,0,0,0,0,0,0,0,1
600656,0,0,0,1,0,0,0,0,0
600657,0,0,0,0,0,0,0,0,1
600658,0,0,0,1,0,0,0,0,0
600659,0,0,0,0,0,1,0,0,0
600660,0,1,0,0,0,0,0,0,0
600661,0,0,0,0,1,0,0,0,0
600662,0,0,0,0,0,1,0,0,0
600663,0,1,0,0,0,0,0,0,0
600664,1,0,0,0,0,0,0,0,0
600665,0,1,0,0,0,0,0,0,0
600666,0,1,0,0,0,0,0,0,0
600667,0,0,0,0,0,1,0,0,0
600668,0,0,0,0,0,0,0,1,0
600669,1,0,0,0,0,0,0,0,0
600670,0,0,0,1,0,0,0,0,0
600671,0,0,0,0,0,0,1,0,0
600672,0,0,0,0,0,0,0,0,1
600673,0,0,0,0,0,1,0,0,0
600674,0,0,0,0,1,0,0,0,0
600675,1,0,0,0,0,0,0,0,0
600676,0,0,0,0,1,0,0,0,0
600677,0,0,0,0,0,1,0,0,0
600678,0,0,0,0,1,0,0,0,0
600679,0,0,0,0,1,0,0,0,0
600680,0,0,0,1,0,0,0,0,0
600681,0,0,0,0,0,0,0,0,1
600682,0,0,0,0,0,0,1,0,0
600683,0,0,1,0,0,0,0,0,0
600684,0,0,0,0,0,0,0,0,1
600685,0,0,0,0,0,1,0,0,0
600686,0,0,0,0,0,0,1,0,0
600687,0,0,0,0,1,0,0,0,0
600688,0,0,0,0,0,1,0,0,0
600689,0,0,0,0,0,1,0,0,0
600690,0,1,0,0,0,0,0,0,0
600691,0,0,0,0,0,1,0,0,0
600692,0,0,0,0,0,1,0,0,0
600693,0,0,0,0,0,0,1,0,0
600694,0,0,0,0,1,0,0,0,0
600695,0,0,0,0,0,1,0,0,0
600696,0,0,0,1,0,0,0,0,0
600697,1,0,0,0,0,0,0,0,0
600698,1,0,0,0,0,0,0,0,0
600699,0,0,0,0,0,1,0,0,0
600700,0,0,0,0,0,1,0,0,0
600701,0,0,0,0,0,0,0,0,1
600702,0,0,0,0,0,1,0,0,0
600703,0,0,0,0,1,0,0,0,0
600704,0,0,0,0,0,1,0,0,0
600705,0,0,0,0,1,0,0,0,0
600706,0,0,0,1,0,0,0,0,0
600707,0,0,0,0,1,0,0,0,0
600708,0,1,0,0,0,0,0,0,0
600709,0,0,0,0,1,0,0,0,0
600710,0,0,0,0,0,0,1,0,0
600711,0,0,0,0,0,0,0,1,0
600712,0,0,0,0,0,1,0,0,0
600713,0,0,0,0,0,0,0,1,0
600714,0,1,0,0,0,0,0,0,0
600715,0,0,0,0,0,0,0,0,1
600716,0,0,0,0,0,1,0,0,0
600717,0,0,0,0,0,1,0,0,0
600718,0,0,0,0,0,0,0,0,1
600719,0,0,0,0,0,0,0,0,1
600720,0,0,0,0,0,1,0,0,0
600721,0,0,0,0,0,1,0,0,0
600722,0,0,0,0,1,0,0,0,0
600723,0,0,0,0,0,1,0,0,0
600724,0,0,0,0,1,0,0,0,0
600725,0,0,0,0,1,0,0,0,0
600726,0,0,0,1,0,0,0,0,0
600727,0,0,1,0,0,0,0,0,0
600728,0,0,0,0,0,1,0,0,0
600729,0,0,0,0,0,1,0,0,0
600730,0,0,0,0,1,0,0,0,0
600731,0,0,0,0,0,1,0,0,0
600732,1,0,0,0,0,0,0,0,0
600733,0,0,0,0,0,1,0,0,0
600734,0,0,0,0,0,1,0,0,0
600735,0,0,0,0,0,0,0,0,1
600736,1,0,0,0,0,0,0,0,0
600737,0,0,0,0,0,0,1,0,0
600738,0,0,0,0,0,1,0,0,0
600739,0,0,0,0,0,1,0,0,0
600740,1,0,0,0,0,0,0,0,0
600741,0,0,1,0,0,0,0,0,0
600742,0,0,0,0,0,1,0,0,0
600743,0,0,0,0,0,1,0,0,0
600744,0,0,0,0,0,1,0,0,0
600745,0,0,0,0,1,0,0,0,0
600746,0,0,0,0,0,0,1,0,0
600747,0,0,0,0,0,0,1,0,0
600748,1,0,0,0,0,0,0,0,0
600749,0,0,0,0,0,1,0,0,0
600750,0,0,0,0,0,1,0,0,0
600751,0,0,0,0,0,1,0,0,0
600752,0,0,0,0,0,1,0,0,0
600753,1,0,0,0,0,0,0,0,0
600754,0,1,0,0,0,0,0,0,0
600755,1,0,0,0,0,0,0,0,0
600756,0,0,0,0,0,1,0,0,0
600757,0,0,0,0,1,0,0,0,0
600758,0,0,0,0,0,1,0,0,0
600759,0,0,0,0,0,0,1,0,0
600760,0,0,0,0,0,1,0,0,0
600761,0,0,0,1,0,0,0,0,0
600762,0,0,0,0,0,0,0,0,1
600763,0,0,0,0,0,1,0,0,0
600764,0,0,1,0,0,0,0,0,0
600765,1,0,0,0,0,0,0,0,0
600766,0,0,0,0,0,1,0,0,0
600767,0,0,0,0,1,0,0,0,0
600768,0,0,0,0,0,1,0,0,0
600769,0,0,0,0,0,0,1,0,0
600770,0,0,0,0,1,0,0,0,0
600771,0,0,0,0,1,0,0,0,0
600772,0,0,0,0,0,0,0,1,0
600773,1,0,0,0,0,0,0,0,0
600774,1,0,0,0,0,0,0,0,0
600775,0,0,0,0,1,0,0,0,0
600776,0,0,0,0,1,0,0,0,0
600777,0,0,0,0,0,1,0,0,0
600778,0,0,0,1,0,0,0,0,0
600779,0,0,0,1,0,0,0,0,0
600780,0,0,0,1,0,0,0,0,0
600781,1,0,0,0,0,0,0,0,0
600782,0,0,1,0,0,0,0,0,0
600783,0,1,0,0,0,0,0,0,0
600784,0,0,0,0,0,1,0,0,0
600785,0,0,0,0,1,0,0,0,0
600786,0,0,0,0,0,1,0,0,0
600787,0,0,0,0,0,1,0,0,0
600788,0,0,0,1,0,0,0,0,0
600789,0,0,1,0,0,0,0,0,0
600790,0,0,0,0,1,0,0,0,0
600791,0,0,1,0,0,0,0,0,0
600792,0,1,0,0,0,0,0,0,0
600793,0,0,0,0,0,1,0,0,0
600794,0,0,1,0,0,0,0,0,0
600795,0,0,0,0,0,1,0,0,0
600796,0,0,0,0,0,1,0,0,0
600797,0,0,0,1,0,0,0,0,0
600798,0,1,0,0,0,0,0,0,0
600799,0,0,0,0,0,1,0,0,0
600800,1,0,0,0,0,0,0,0,0
600801,0,0,1,0,0,0,0,0,0
600802,0,1,0,0,0,0,0,0,0
600803,0,0,0,1,0,0,0,0,0
600804,0,0,0,0,0,1,0,0,0
600805,0,0,0,0,0,0,0,0,1
600806,0,0,0,1,0,0,0,0,0
600807,1,0,0,0,0,0,0,0,0
600808,0,0,1,0,0,0,0,0,0
600809,0,0,0,0,0,1,0,0,0
600810,0,0,0,0,0,0,1,0,0
600811,0,0,1,0,0,0,0,0,0
600812,0,0,0,0,1,0,0,0,0
600813,0,0,0,0,0,0,0,0,1
600814,0,0,0,0,0,0,0,0,1
600815,0,0,0,0,1,0,0,0,0
600816,0,0,0,0,1,0,0,0,0
600817,0,0,0,1,0,0,0,0,0
600818,1,0,0,0,0,0,0,0,0
600819,1,0,0,0,0,0,0,0,0
600820,0,0,0,0,1,0,0,0,0
600821,0,0,0,0,0,0,1,0,0
600822,0,0,0,0,1,0,0,0,0
600823,0,0,0,0,1,0,0,0,0
600824,0,0,0,1,0,0,0,0,0
600825,0,0,1,0,0,0,0,0,0
600826,0,0,0,0,1,0,0,0,0
600827,0,0,0,0,0,0,0,0,1
600828,0,0,0,1,0,0,0,0,0
600829,1,0,0,0,0,0,0,0,0
600830,0,0,0,0,0,0,1,0,0
600831,0,0,0,0,0,1,0,0,0
600832,0,0,0,0,0,1,0,0,0
600833,0,0,1,0,0,0,0,0,0
600834,0,0,0,0,0,0,0,0,1
600835,0,0,0,0,0,0,0,1,0
600836,0,0,0,0,0,1,0,0,0
600837,0,0,0,0,0,1,0,0,0
600838,0,0,0,0,1,0,0,0,0
600839,0,0,0,0,0,1,0,0,0
600840,0,0,0,0,0,1,0,0,0
600841,0,0,0,0,1,0,0,0,0
600842,0,0,0,0,0,0,0,0,1
600843,0,0,0,1,0,0,0,0,0
600844,0,0,0,0,1,0,0,0,0
600845,0,0,0,0,0,1,0,0,0
600846,0,0,0,1,0,0,0,0,0
600847,0,0,0,0,0,1,0,0,0
600848,1,0,0,0,0,0,0,0,0
600849,0,0,0,0,0,1,0,0,0
600850,0,0,0,0,1,0,0,0,0
600851,0,0,0,1,0,0,0,0,0
600852,0,0,0,0,0,1,0,0,0
600853,0,0,0,0,0,1,0,0,0
600854,0,0,0,0,1,0,0,0,0
600855,0,0,0,0,0,0,0,0,1
600856,0,0,0,0,0,0,1,0,0
600857,0,0,0,0,1,0,0,0,0
600858,0,0,1,0,0,0,0,0,0
600859,0,0,1,0,0,0,0,0,0
600860,0,0,0,0,0,1,0,0,0
600861,0,0,0,0,0,0,0,0,1
600862,0,0,0,0,0,1,0,0,0
600863,0,0,0,0,1,0,0,0,0
600864,0,0,0,1,0,0,0,0,0
600865,0,0,0,0,1,0,0,0,0
600866,0,0,0,1,0,0,0,0,0
600867,1,0,0,0,0,0,0,0,0
600868,0,0,1,0,0,0,0,0,0
600869,0,0,0,1,0,0,0,0,0
600870,0,0,1,0,0,0,0,0,0
600871,1,0,0,0,0,0,0,0,0
600872,0,0,0,0,0,1,0,0,0
600873,0,0,0,0,0,0,1,0,0
600874,0,0,0,0,0,0,1,0,0
600875,0,0,0,0,0,0,0,1,0
600876,0,0,0,0,1,0,0,0,0
600877,0,0,0,1,0,0,0,0,0
600878,0,0,0,0,0,1,0,0,0
600879,0,0,0,0,0,0,0,0,1
600880,0,0,0,0,1,0,0,0,0
600881,0,0,0,0,0,1,0,0,0
600882,0,0,0,0,0,0,0,1,0
600883,0,0,0,0,0,1,0,0,0
600884,0,0,0,1,0,0,0,0,0
600885,0,0,0,1,0,0,0,0,0
600886,0,0,1,0,0,0,0,0,0
600887,0,0,0,0,0,0,0,1,0
600888,0,0,1,0,0,0,0,0,0
600889,0,0,0,0,0,1,0,0,0
600890,0,0,0,0,0,1,0,0,0
600891,0,0,0,0,0,0,0,1,0
600892,0,0,0,0,0,1,0,0,0
600893,0,0,0,0,0,0,0,0,1
600894,0,0,0,1,0,0,0,0,0
600895,0,0,1,0,0,0,0,0,0
600896,0,0,0,0,0,1,0,0,0
600897,0,0,1,0,0,0,0,0,0
600898,0,0,0,0,0,0,0,1,0
600899,0,0,1,0,0,0,0,0,0
600900,0,0,0,0,0,1,0,0,0
600901,0,0,0,0,0,1,0,0,0
600902,1,0,0,0,0,0,0,0,0
600903,0,0,1,0,0,0,0,0,0
600904,0,0,0,0,0,0,0,1,0
600905,0,0,0,0,1,0,0,0,0
600906,1,0,0,0,0,0,0,0,0
600907,0,0,0,1,0,0,0,0,0
600908,1,0,0,0,0,0,0,0,0
600909,0,0,0,0,1,0,0,0,0
600910,0,0,0,0,0,0,1,0,0
600911,1,0,0,0,0,0,0,0,0
600912,1,0,0,0,0,0,0,0,0
600913,0,0,0,0,1,0,0,0,0
600914,0,0,0,0,0,1,0,0,0
600915,0,0,0,0,1,0,0,0,0
600916,0,0,0,0,0,1,0,0,0
600917,0,0,0,0,0,0,0,0,1
600918,0,1,0,0,0,0,0,0,0
600919,0,0,0,0,0,1,0,0,0
600920,1,0,0,0,0,0,0,0,0
600921,1,0,0,0,0,0,0,0,0
600922,0,0,0,0,1,0,0,0,0
600923,0,0,0,1,0,0,0,0,0
600924,0,1,0,0,0,0,0,0,0
600925,0,0,0,0,1,0,0,0,0
600926,0,0,0,0,1,0,0,0,0
600927,0,0,0,0,0,0,0,0,1
600928,1,0,0,0,0,0,0,0,0
600929,0,0,1,0,0,0,0,0,0
600930,0,0,0,0,0,0,0,1,0
600931,0,0,0,0,0,1,0,0,0
600932,0,0,0,0,0,0,0,0,1
600933,1,0,0,0,0,0,0,0,0
600934,1,0,0,0,0,0,0,0,0
600935,1,0,0,0,0,0,0,0,0
600936,0,0,0,0,0,0,0,1,0
600937,0,1,0,0,0,0,0,0,0
600938,0,1,0,0,0,0,0,0,0
600939,0,0,0,0,0,0,0,1,0
600940,0,0,0,0,1,0,0,0,0
600941,0,0,0,0,0,0,1,0,0
600942,0,0,0,0,0,1,0,0,0
600943,0,0,0,0,0,1,0,0,0
600944,0,0,0,0,1,0,0,0,0
600945,0,1,0,0,0,0,0,0,0
600946,0,0,0,0,0,1,0,0,0
600947,0,0,0,0,0,1,0,0,0
600948,0,0,0,0,1,0,0,0,0
600949,0,0,0,0,0,1,0,0,0
600950,0,0,0,0,0,0,0,0,1
600951,0,0,0,0,1,0,0,0,0
600952,0,0,0,0,0,1,0,0,0
600953,0,0,0,0,0,1,0,0,0
600954,0,0,0,0,0,0,1,0,0
600955,0,0,0,0,0,1,0,0,0
600956,0,0,0,1,0,0,0,0,0
600957,0,0,1,0,0,0,0,0,0
600958,0,0,0,0,1,0,0,0,0
600959,0,0,0,0,0,1,0,0,0
600960,0,0,0,0,0,1,0,0,0
600961,0,0,0,0,0,1,0,0,0
600962,1,0,0,0,0,0,0,0,0
600963,0,0,0,1,0,0,0,0,0
600964,0,0,1,0,0,0,0,0,0
600965,0,0,0,0,0,0,0,0,1
600966,1,0,0,0,0,0,0,0,0
600967,0,0,0,0,0,1,0,0,0
600968,0,0,0,0,0,1,0,0,0
600969,0,0,0,0,0,0,0,0,1
600970,1,0,0,0,0,0,0,0,0
600971,0,0,0,1,0,0,0,0,0
600972,0,0,0,1,0,0,0,0,0
600973,0,0,0,0,1,0,0,0,0
600974,0,0,0,0,1,0,0,0,0
600975,0,1,0,0,0,0,0,0,0
600976,0,0,0,0,0,1,0,0,0
600977,0,0,0,0,0,1,0,0,0
600978,0,0,0,0,1,0,0,0,0
600979,0,0,0,0,0,1,0,0,0
600980,0,0,0,0,1,0,0,0,0
600981,0,0,0,0,1,0,0,0,0
600982,0,0,0,1,0,0,0,0,0
600983,0,0,0,0,0,1,0,0,0
600984,0,0,0,0,1,0,0,0,0
600985,0,0,0,0,1,0,0,0,0
600986,0,0,0,0,1,0,0,0,0
600987,0,0,0,0,0,1,0,0,0
600988,0,0,0,0,0,1,0,0,0
600989,0,0,0,0,0,1,0,0,0
600990,0,0,0,1,0,0,0,0,0
600991,0,0,0,0,0,1,0,0,0
600992,0,0,0,0,0,1,0,0,0
600993,0,0,0,0,0,0,0,0,1
600994,0,0,0,0,0,1,0,0,0
600995,0,0,0,0,0,1,0,0,0
600996,0,0,0,0,1,0,0,0,0
600997,0,0,1,0,0,0,0,0,0
600998,0,0,0,0,1,0,0,0,0
600999,0,0,0,1,0,0,0,0,0
601000,0,0,1,0,0,0,0,0,0
601001,0,1,0,0,0,0,0,0,0
601002,0,0,0,0,0,0,0,0,1
601003,0,0,0,0,0,0,0,0,1
601004,0,0,0,0,0,0,1,0,0
601005,1,0,0,0,0,0,0,0,0
601006,0,1,0,0,0,0,0,0,0
601007,0,0,0,0,1,0,0,0,0
601008,0,0,0,0,0,1,0,0,0
601009,0,0,0,0,0,1,0,0,0
601010,1,0,0,0,0,0,0,0,0
601011,0,0,0,0,0,0,0,0,1
601012,0,0,0,0,0,1,0,0,0
601013,0,0,0,0,0,1,0,0,0
